1234	4	139.00
1235	2	30.00
1236	2	30.00
1237	2	30.00
1238	2	30.00
1239	4	139.00
1240	6	79.00
1241	2	30.00
1242	4	139.00
1243	5	34.00
1244	1	10.00
1245	5	34.00
1246	1	10.00
1247	2	30.00
1248	4	139.00
1249	1	10.00
1250	1	10.00
1251	2	30.00
1252	3	125.00
1253	6	79.00
1254	1	10.00
1255	1	10.00
1256	2	30.00
1257	4	139.00
1258	3	125.00
1259	5	34.00
1260	4	139.00
1261	5	34.00
1262	2	30.00
1263	3	125.00
1264	3	125.00
1265	4	139.00
1266	5	34.00
1267	3	125.00
1268	2	30.00
1269	5	34.00
1270	4	139.00
1271	3	125.00
1272	4	139.00
1273	4	139.00
1274	2	30.00
1275	5	34.00
1276	4	139.00
1277	5	34.00
1278	6	79.00
1279	1	10.00
1280	6	79.00
1281	5	34.00
1282	1	10.00
1283	5	34.00
1284	4	139.00
1285	4	139.00
1286	6	79.00
1287	4	139.00
1288	2	30.00
1289	3	125.00
1290	5	34.00
1291	4	139.00
1292	5	34.00
1293	3	125.00
1294	2	30.00
1295	5	34.00
1296	3	125.00
1297	1	10.00
1298	5	34.00
1299	4	139.00
1300	1	10.00
1301	1	10.00
1302	2	30.00
1303	1	10.00
1304	1	10.00
1305	1	10.00
1306	3	125.00
1307	1	10.00
1308	3	125.00
1309	2	30.00
1310	5	34.00
1311	6	79.00
1312	5	34.00
1313	1	10.00
1314	1	10.00
1315	5	34.00
1316	6	79.00
1317	5	34.00
1318	3	125.00
1319	4	139.00
1320	3	125.00
1321	1	10.00
1322	3	125.00
1323	2	30.00
1324	6	79.00
1325	4	139.00
1326	1	10.00
1327	2	30.00
1328	3	125.00
1329	3	125.00
1330	6	79.00
1331	4	139.00
1332	6	79.00
1333	1	10.00
1334	3	125.00
1335	2	30.00
1336	3	125.00
1337	1	10.00
1338	6	79.00
1339	3	125.00
1340	6	79.00
1341	5	34.00
1342	4	139.00
1343	6	79.00
1344	2	30.00
1345	4	139.00
1346	2	30.00
1347	6	79.00
1348	4	139.00
1349	5	34.00
1350	5	34.00
1351	5	34.00
1352	2	30.00
1353	1	10.00
1354	2	30.00
1355	4	139.00
1356	2	30.00
1357	3	125.00
1358	4	139.00
1359	6	79.00
1360	2	30.00
1361	4	139.00
1362	3	125.00
1363	1	10.00
1364	4	139.00
1365	1	10.00
1366	6	79.00
1367	4	139.00
1368	6	79.00
1369	1	10.00
1370	4	139.00
1371	6	79.00
1372	5	34.00
1373	6	79.00
1374	3	125.00
1375	3	125.00
1376	4	139.00
1377	6	79.00
1378	4	139.00
1379	6	79.00
1380	6	79.00
1381	4	139.00
1382	3	125.00
1383	2	30.00
1384	6	79.00
1385	4	139.00
1386	4	139.00
1387	2	30.00
1388	2	30.00
1389	3	125.00
1390	5	34.00
1391	5	34.00
1392	5	34.00
1393	4	139.00
1394	6	79.00
1395	1	10.00
1396	6	79.00
1397	6	79.00
1398	3	125.00
1399	3	125.00
1400	3	125.00
1401	2	30.00
1402	3	125.00
1403	4	139.00
1404	2	30.00
1405	5	34.00
1406	5	34.00
1407	5	34.00
1408	5	34.00
1409	6	79.00
1410	4	139.00
1411	3	125.00
1412	1	10.00
1413	6	79.00
